"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"10/01/2024";"1200";"26,5";"62,0";"924,9";"3,6";"20,0";"0,0";"";"";"21,7";"21,0"
"10/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"10/01/2024";"1800";"32,1";"33,0";"922,6";"2,6";"60,0";"6,3";"";"";"";""
"10/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"11/01/2024";"0000";"24,0";"86,0";"925,1";"2,1";"170,0";"8,8";"";"31,2";"";""
"11/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"11/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"11/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"11/01/2024";"1200";"25,0";"73,0";"923,9";"6,7";"330,0";"6,3";"";"";"21,5";"39,0"
"11/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"11/01/2024";"1800";"30,4";"44,0";"920,5";"5,7";"300,0";"6,3";"";"";"";""
"11/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"12/01/2024";"0000";"25,6";"62,0";"922,0";"4,6";"330,0";"6,3";"";"27,3";"";""
"12/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"12/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"12/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"12/01/2024";"1200";"22,9";"81,0";"923,2";"4,1";"300,0";"7,5";"";"";"21,9";"0,5"
"12/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"12/01/2024";"1800";"";"";"";"";"";"";"";"";"";""
"12/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"13/01/2024";"0000";"21,2";"95,0";"924,9";"2,6";"210,0";"10,0";"";"21,6";"";""
"13/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"13/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"13/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"13/01/2024";"1200";"21,1";"93,0";"926,3";"5,1";"170,0";"10,0";"";"";"20,4";"55,0"
"13/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"13/01/2024";"1800";"19,9";"87,0";"925,4";"5,7";"180,0";"10,0";"";"";"";""
"13/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"14/01/2024";"0000";"18,2";"93,0";"927,4";"3,6";"150,0";"10,0";"";"30,0";"";""
"14/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"14/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"14/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"14/01/2024";"1200";"22,6";"70,0";"927,1";"2,1";"70,0";"5,0";"";"";"17,7";"0,3"
"14/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"14/01/2024";"1800";"29,9";"47,0";"923,8";"2,6";"310,0";"7,5";"";"";"";""
"14/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
